Rank Team                            W-L-T    Rating
  1  Alabama                         9-1-0      82.8
  2  Mississippi                     8-2-0      80.3
  3  Georgia                         8-2-0      80.1
  4  Baylor                          8-1-0      79.5
  5  Auburn                          7-3-0      77.8
  6  TCU                             9-1-0      77.7
  7  Oregon                          9-1-0      76.2
  8  Ohio State                      9-1-0      75.2
  9  Mississippi St                  9-1-0      74.4
 10  Oklahoma                        7-3-0      74.2
 11  Wisconsin                       8-2-0      73.6
 12  LSU                             7-4-0      73.2
 13  Michigan St                     8-2-0      73.2
 14  Kansas St                       7-2-0      71.6
 15  Arkansas                        5-5-0      69.8
 16  Tennessee                       5-5-0      69.1
 17  Florida                         5-4-0      66.9
 18  Nebraska                        8-2-0      66.6
 19  UCLA                            8-2-0      66.5
 20  Southern Cal                    7-3-0      66.2
 21  West Virginia                   6-4-0      65.9
 22  Florida St                      10-0-0      65.8
 23  Texas A&M                       7-4-0      65.7
 24  Georgia Tech                    9-2-0      64.6
 25  Missouri                        8-2-0      64.6
 26  Marshall                        10-0-0      64.4
 27  Clemson                         7-3-0      63.5
 28  Utah                            7-3-0      63.3
 29  Miami FL                        6-4-0      63.3
 30  Louisville                      7-3-0      62.8
 31  Arizona                         8-2-0      62.6
 32  Arizona St                      8-2-0      62.5
 33  Notre Dame                      7-3-0      62.1
 34  Duke                            8-2-0      61.2
 35  South Carolina                  5-5-0      60.8
 36  Stanford                        5-5-0      60.6
 37  Minnesota                       7-3-0      60.5
 38  Texas                           6-5-0      60.4
 39  Memphis                         7-3-0      59.5
 40  Louisiana Tech                  7-3-0      58.8
 41  Virginia Tech                   5-5-0      58.2
 42  Washington                      6-5-0      56.1
 43  California                      5-5-0      55.8
 44  Maryland                        6-4-0      55.4
 45  Kentucky                        5-6-0      55.4
 46  Boise St                        8-2-0      55.2
 47  Penn State                      6-4-0      55.0
 48  Iowa                            7-3-0      54.9
 49  North Dakota St                 10-1-0      54.8
 50  Boston College                  6-4-0      54.3
 51  Virginia                        4-6-0      54.0
 52  Colorado St                     9-1-0      54.0
 53  Michigan                        5-5-0      53.4
 54  Brigham Young                   6-4-0      53.0
 55  Pittsburgh                      4-6-0      52.4
 56  Northwestern                    4-6-0      52.3
 57  Cincinnati                      6-3-0      52.1
 58  East Carolina                   6-3-0      51.8
 59  Oklahoma St                     5-5-0      51.5
 60  Utah St                         8-3-0      51.4
 61  Arkansas St                     6-4-0      50.9
 62  Washington St                   3-7-0      50.8
 63  Northern Iowa                   7-4-0      50.6
 64  Navy                            5-5-0      50.4
 65  Purdue                          3-7-0      50.2
 66  Central Florida                 6-3-0      50.1
 67  Nevada                          6-4-0      49.6
 68  Syracuse                        3-7-0      49.5
 69  Georgia Southern                8-3-0      49.5
 70  Houston                         5-4-0      49.4
 71  Illinois St                     9-1-0      49.1
 72  North Carolina                  5-5-0      48.9
 73  Rutgers                         6-4-0      48.8
 74  North Carolina St               6-5-0      48.8
 75  Oregon St                       5-5-0      48.7
 76  Temple                          5-5-0      48.5
 77  Western Michigan                7-3-0      48.4
 78  Iowa St                         2-7-0      46.3
 79  Colorado                        2-8-0      46.2
 80  Texas Tech                      3-7-0      46.0
 81  Toledo                          6-4-0      45.6
 82  Alabama-Birmingham              5-5-0      45.3
 83  Illinois                        4-6-0      45.1
 84  Rice                            6-4-0      44.7
 85  Kansas                          3-7-0      44.3
 86  Air Force                       8-2-0      44.2
 87  Louisiana-Lafayette             7-3-0      44.2
 88  Western Kentucky                5-5-0      43.9
 89  South Dakota St                 7-4-0      43.7
 90  Indiana                         3-7-0      43.7
 91  UTEP                            6-4-0      43.2
 92  Chattanooga                     8-3-0      43.0
 93  Northern Illinois               8-2-0      42.8
 94  Jacksonville St                 9-1-0      42.7
 95  Indiana St                      7-4-0      42.3
 96  Central Michigan                7-4-0      42.3
 97  Middle Tennessee St             5-5-0      41.9
 98  Vanderbilt                      3-7-0      41.7
 99  SE Louisiana                    8-3-0      41.7
100  San Diego St                    5-5-0      41.4
101  Villanova                       9-2-0      41.4
102  Hawai`i                         3-8-0      40.9
103  Wyoming                         4-6-0      40.0
104  Florida Int'l                   4-7-0      39.7
105  Appalachian St                  5-5-0      39.7
106  San Jose St                     3-7-0      39.3
107  Coastal Carolina                11-0-0      39.3
108  Eastern Washington              9-2-0      39.0
109  Bowling Green                   7-3-0      38.9
110  New Hampshire                   9-1-0      38.9
111  Southern Illinois               6-5-0      38.3
112  Texas-San Antonio               3-7-0      38.1
113  South Alabama                   6-4-0      38.0
114  Fresno St                       4-6-0      38.0
115  Eastern Illinois                5-6-0      37.8
116  Youngstown St                   7-4-0      37.7
117  Tulane                          3-7-0      37.6
118  Louisiana-Monroe                3-7-0      37.4
119  Massachusetts                   3-7-0      37.2
120  Fordham                         10-1-0      37.0
121  Texas St-San Marcos             5-5-0      36.6
122  Florida Atlantic                3-7-0      36.5
123  Ball St                         3-7-0      36.4
124  Ohio U.                         5-5-0      36.2
125  New Mexico                      3-7-0      35.8
126  Missouri St                     4-7-0      35.7
127  North Texas                     3-7-0      35.2
128  Samford                         7-3-0      34.9
129  Wake Forest                     2-8-0      34.8
130  South Florida                   4-6-0      34.7
131  Akron                           4-6-0      34.5
132  Western Illinois                4-7-0      34.2
133  Idaho St                        7-4-0      34.1
134  Southern Miss                   3-8-0      33.8
135  TAMU-Commerce                   8-3-0      33.7
136  Sam Houston St                  7-4-0      33.5
137  Montana St                      8-3-0      33.2
138  Mount Union                     10-0-0      33.0
139  McNeese St                      6-4-0      32.6
140  Buffalo                         4-6-0      32.4
141  Miami OH                        2-9-0      32.3
142  Old Dominion                    4-6-0      32.2
143  Connecticut                     2-7-0      32.2
144  Montana                         7-4-0      32.0
145  Central Arkansas                6-5-0      31.7
146  Ferris St                       11-0-0      31.6
147  Stephen F. Austin               7-4-0      31.6
148  Northwestern St                 6-5-0      31.5
149  Delta St                        9-1-0      31.1
150  Tulsa                           2-8-0      30.5
151  James Madison                   8-3-0      30.5
152  Harvard                         9-0-0      30.4
153  Liberty                         7-4-0      30.1
154  Eastern Kentucky                9-2-0      29.8
155  Cal Poly SLO                    6-5-0      29.3
156  Kent St                         1-9-0      28.6
157  Richmond                        7-4-0      28.5
158  William & Mary                  7-4-0      28.3
159  Army                            3-7-0      28.1
160  Valdosta St                     8-2-0      27.4
161  North Alabama                   9-1-0      27.4
162  Idaho                           1-9-0      27.3
163  Colorado St-Pueblo              10-1-0      27.1
164  Troy                            3-8-0      26.8
165  North Carolina A&T              9-2-0      26.6
166  Bryant                          8-2-0      26.3
167  Charleston Southern             8-3-0      26.2
168  Harding                         9-1-0      25.9
169  New Mexico St                   2-8-0      25.7
170  Tennessee-Martin                5-6-0      25.6
171  UNLV                            2-9-0      25.6
172  Alcorn St                       9-2-0      25.0
173  The Citadel                     4-7-0      25.0
174  Tarleton St                     5-5-0      24.9
175  Angelo St                       8-2-0      24.6
176  Ohio Dominican                  9-1-0      24.2
177  Sacred Heart                    9-2-0      24.1
178  Stony Brook                     5-6-0      24.0
179  Yale                            8-1-0      23.5
180  Western Carolina                7-4-0      23.4
181  South Dakota                    2-9-0      23.4
182  Ashland                         8-2-0      23.2
183  Abilene Christian               6-6-0      23.1
184  Northern Arizona                7-4-0      23.1
185  Lenoir-Rhyne                    11-0-0      22.8
186  Wofford                         5-5-0      22.8
187  John Carroll                    9-1-0      22.6
188  Midwestern St                   6-4-0      22.6
189  Sacramento St                   6-5-0      22.4
190  SE Missouri St                  5-6-0      22.1
191  Albany NY                       6-5-0      21.5
192  Dartmouth                       7-2-0      21.5
193  Bucknell                        8-2-0      21.3
194  Weber St                        2-9-0      21.1
195  South Carolina St               7-4-0      21.0
196  SMU                             0-9-0      21.0
197  Carroll MT                      9-1-0      20.9
198  Bethune-Cookman                 8-3-0      20.9
199  West Georgia                    9-2-0      20.9
200  Mary Hardin-Baylor              10-0-0      20.7
201  Georgia St                      1-9-0      20.1
202  Wesley                          8-1-0      20.1
203  Mercer                          6-5-0      19.8
204  Duquesne                        5-6-0      19.7
205  Concord                         11-0-0      19.7
206  UNC-Charlotte                   4-6-0      19.2
207  Shepherd                        8-2-0      18.9
208  Bloomsburg                      10-1-0      18.7
